List Name,Title,Author,Publisher,Description,Rank,Weeks on List,ISBN-10,ISBN-13
Mass Market,TRIANGLE,Danielle Steel,Dell,A woman who runs an art gallery in Paris falls for a publisher who is married and reconnects with an old college boyfriend.,5,3,,9780593498576
Mass Market,A CHRISTMAS DUET,Debbie Macomber,Ballantine,A woman on a solo holiday retreat encounters complications with the son of a small town’s main store proprietor.,6,1,,9780593725351
Mass Market,DARK HOPE,Christine Feehan,Berkley,The 38th book in the Carpathian series. Will Benedek and Silke defeat an adversary bent on destruction?,7,1,,9780593819616
Mass Market,WINTER WONDERLAND,Nora Roberts,St. Martin's,Two holiday stories: “Gabriel's Angel” and “A Will and a Way.”,8,1,,9781250395610
Mass Market,THE HONORABLE TEXAN,Diana Palmer,Harlequin,Two western romance stories: “Blake” and “Rey.”,9,1,,9781335994691
Mass Market,VINCE FLYNN: CAPTURE OR KILL,Don Bentley,Pocket,"The 23rd book in the Mitch Rapp series. In 2011, operations take place to prevent a looming war in the Middle East.",10,1,,9781668045848
Mass Market,YOU DON’T WANT TO KNOW,Lisa Jackson,Zebra,"Living in a fog of grief over the disappearance of her toddler son two years earlier, a woman begins to have unsettling visions.",11,1,,9781420157048
Mass Market,HIS AMISH CHRISTMAS SURPRISE,Virginia Wise,Love Inspired,"After a disastrous Rumspringa, Leah finds a baby on her doorstep and she forms a tenuous relationship with a man unsure about his return to the Amish community.",12,1,,9781335621139
Mass Market,TRIAL BY FIRE,Danielle Steel,Dell,The chief executive of a Paris-based perfume business finds her future in jeopardy when she assists after brush fires occur in Napa Valley.,13,2,,9780593498606
Mass Market,TOGETHER FOR FOREVER,Nora Roberts,Silhouette,Two romance stories: “Megan's Mate” and “Irish Rebel.”,14,1,,9781335449054
Mass Market,THE AMISH NANNY'S SECRET,Amy Lillard,Love Inspired,"When Naomi nannies a widower’s five boys, members of the Amish community assume there is an engagement.",15,1,,9781335621146
Middle Grade Paperback,IMPOSSIBLE CREATURES,Katherine Rundell,Yearling,,1,2,,9780593809891
Middle Grade Paperback,THE SHERLOCK SOCIETY,James Ponti,Aladdin,,2,1,,9781665932547
Middle Grade Paperback,A LONG WALK TO WATER,Linda Sue Park,Clarion,,3,73,,9780547577319
Middle Grade Paperback,RESTART,Gordon Korman,Scholastic,,4,59,,9781338053807
Middle Grade Paperback,WISH,Barbara O'Connor,Square Fish,,5,67,,9781250144058
Middle Grade Paperback,THE MILLICENT QUIBB SCHOOL OF ETIQUETTE FOR YOUNG LADIES OF MAD SCIENCE,Kate McKinnon,"Little, Brown",,6,1,,9780316554831
Middle Grade Paperback,THE ICKABOG,J.K. Rowling,Scholastic,,7,2,,9781546157502
Middle Grade Paperback,THE BAD GUYS 2 MOVIE NOVELIZATION,Kate Howard,Scholastic,,8,4,,9781546175520
Middle Grade Paperback,THE SUN AND THE STAR,Rick Riordan and Mark Oshiro,Disney Hyperion,,9,10,,9781368113175
Middle Grade Paperback,THE LAST DRAGON ON MARS,Scott Reintgen,Aladdin,,10,1,,9781665946520
Young Adult Paperback,PUMPKIN SPICE & EVERYTHING NICE,Katie Cicatelli-Kuc,Scholastic,,1,3,,9781339030753
Young Adult Paperback,A HEART FOR CHRISTMAS,Sophie Jomain,Simon & Schuster,,2,1,,9781665990394
Young Adult Paperback,THE THIRTEENTH CHILD,Erin A. Craig,Delacorte,,3,1,,9780593482612
Young Adult Paperback,IF HE HAD BEEN WITH ME,Laura Nowlin,Sourcebooks Fire,,4,35,,9781728205489
Young Adult Paperback,LONG LIVE THE PUMPKIN QUEEN,Shea Ernshaw,Disney,,5,4,,9781368115988
Young Adult Paperback,FALLING LIKE LEAVES,Misty Wilson,Margaret K. McElderry,,6,2,,9781665975193
Young Adult Paperback,NOTHING LIKE THE MOVIES,Lynn Painter,Simon & Schuster,,7,2,,9781665947145
Young Adult Paperback,THAT'S NOT MY NAME,Megan Lally,Sourcebooks Fire,,8,4,,9781728270111
Young Adult Paperback,SIX OF CROWS,Leigh Bardugo,Square Fish,,9,34,,9781250409010
Young Adult Paperback,IF ONLY I HAD TOLD HER,Laura Nowlin,Sourcebooks Fire,,10,21,,9781728276229
